EndingDate,Number1,Number2,Number3,Number4,Number5,Number6,YottaBallNumber
2021-08-01,59,13,67,28,47,31,30
2021-07-25,51,35,9,53,48,3,9
2021-07-18,34,39,32,37,59,57,10
2021-07-11,25,28,52,55,60,1,47
2021-07-04,60,46,4,40,13,34,8
2021-06-27,64,49,18,65,59,63,27
2021-06-20,57,20,14,53,52,47,25
2021-06-13,43,22,7,57,30,27,24
2021-06-06,1,21,10,2,22,62,13
2021-05-30,36,49,2,15,10,26,56
2021-05-23,49,57,25,6,13,33,51
2021-05-16,65,63,12,18,8,70,21
2021-05-09,64,22,19,17,23,51,41
2021-05-02,1,39,53,66,13,24,4
2021-04-25,23,18,50,5,13,9,39
2021-04-18,7,49,20,18,26,67,5
2021-04-11,41,57,48,58,62,16,22
2021-04-04,23,41,26,7,28,58,2
2021-03-28,16,37,45,43,17,44,56
2021-03-21,1,24,52,31,54,4,17
2021-03-14,13,21,65,3,5,41,19
2021-03-07,69,14,25,11,57,45,38
2021-02-28,26,20,27,1,48,58,16
2021-02-21,20,35,6,42,11,47,18
2021-02-14,34,61,2,10,65,33,44
2021-02-07,27,19,53,54,57,68,15
2021-01-31,3,9,43,63,50,59,14
2021-01-24,63,55,36,53,35,40,1
2021-01-17,5,56,19,62,9,21,52
2021-01-10,64,7,28,10,17,57,26
2021-01-03,29,19,63,51,5,24,55
2020-12-27,48,7,16,8,9,26,55
2020-12-20,31,55,42,56,47,12,3
2020-12-13,45,65,63,29,4,48,12
2020-12-06,25,34,60,11,20,24,13
2020-11-29,24,19,12,29,2,30,6
2020-11-22,6,25,9,5,7,33,46
2020-11-15,8,18,70,11,51,69,43
2020-11-08,42,15,39,1,69,62,61
2020-11-01,34,56,50,70,65,10,29
2020-10-25,13,2,42,48,3,27,30
2020-10-18,32,49,38,11,7,39,62
2020-10-11,49,2,53,55,51,12,7
2020-10-04,17,22,27,38,20,63,48
2020-09-27,28,48,15,64,19,5,36
2021-08-08,67,65,46,26,21,22,59
2021-08-15,24,9,12,22,18,4,23
2021-08-22,60,67,15,58,29,34,54
2021-08-29,3,46,53,12,33,56,40
2021-09-05,38,4,37,64,46,10,16
2021-09-12,46,25,7,31,60,6,28
2021-09-19,59,70,41,34,35,55,11
2021-09-26,42,40,2,15,28,21,7
2021-10-03,38,4,26,56,19,8,30
2021-10-10,7,14,6,25,5,62,46
2021-10-17,54,28,10,62,14,52,21
2021-10-24,56,54,66,19,61,11,44
2021-10-31,8,14,19,69,46,64,43
2021-11-07,22,10,68,33,12,26,40
2021-11-14,43,47,28,31,3,8,23
2021-11-21,69,7,11,42,59,40,47
2021-11-28,4,23,3,39,60,46,14,14
2021-12-05,60,18,45,21,33,13,55
2021-12-12,43,18,13,58,60,48,37
2021-12-19,21,23,36,65,2,34,53
2021-12-26,2,8,12,48,14,32,16
2022-01-02,34,25,39,32,38,46,47
2022-01-09,48,19,23,12,14,66,38
2022-01-16,51,15,2,13,64,60,47
2022-01-23,63,24,42,58,57,13,62
2022-01-30,41,17,16,15,10,50,60
2022-02-06,58,6,48,22,53,49,2
2022-02-13,15,47,45,48,58,33,23
2022-02-20,21,4,60,65,28,2,47
2022-02-27,39,18,6,2,47,16,22
2022-03-06,45,51,38,63,29,49,12
2022-03-13,38,52,23,69,4,42,17
2022-03-20,24,4,44,17,31,2,26
2022-03-27,51,19,30,17,41,39,57
2022-04-03,60,14,28,32,50,2,44
2022-04-10,13,39,54,18,28,29,19
2022-04-17,33,29,58,34,9,50,48
2022-04-24,50,15,48,32,41,55,13
2022-05-01,11,48,56,50,45,30,21
2022-05-08,2,12,31,49,10,4,1
2022-05-15,20,9,38,68,58,15,34
2022-05-22,8,36,63,42,11,57,27
2022-05-29,26,54,22,2,36,39,52
2022-06-05,12,55,44,54,49,60,37
2022-06-12,68,62,37,31,65,57,40
2022-06-19,59,29,17,35,42,16,2
2022-06-26,2,20,43,42,69,5,51
2022-07-03,2,8,68,35,14,53,57
2022-07-10,55,41,8,51,40,53,25
2022-07-17,50,49,7,61,37,36,2
2022-07-24,3,23,59,6,54,24,45
2022-07-31,35,1,46,45,20,26,4
2022-08-07,67,15,31,68,33,38,13
2022-08-14,1,52,53,13,54,16,36
2022-08-21,68,53,66,34,33,29,20
2022-08-28,3,20,27,21,47,45,6
2022-09-04,19,56,48,41,26,22,20
2022-09-11,20,58,39,42,45,23,11
